,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_factors[0],-0.15,0.082,-0.308,0.001,0.007,0.003,131.0,23895.0,1.02
beta_factors[1],0.121,0.08,-0.023,0.274,0.005,0.001,263.0,17215.0,1.01
beta_factors[2],0.164,0.071,0.02,0.289,0.007,0.002,106.0,709.0,1.03
beta_factors[3],0.038,0.074,-0.106,0.172,0.007,0.001,143.0,19405.0,1.02
beta_factors[4],-0.258,0.072,-0.394,-0.117,0.001,0.004,3324.0,21677.0,1.02
beta_factors[5],0.11,0.059,0.001,0.226,0.002,0.002,1303.0,19634.0,1.02
beta_factors[6],-0.007,0.064,-0.124,0.122,0.001,0.004,2026.0,13103.0,1.04
beta_factors[7],0.105,0.082,-0.051,0.261,0.001,0.005,3056.0,20020.0,1.02
beta_gender,0.108,0.122,-0.13,0.336,0.003,0.006,1279.0,21287.0,1.02
cutpoints[0],-1.375,0.21,-1.778,-1.003,0.028,0.001,57.0,19293.0,1.04
cutpoints[1],0.12,0.197,-0.263,0.497,0.002,0.013,7951.0,19210.0,1.05
cutpoints[2],1.171,0.199,0.788,1.556,0.002,0.013,10157.0,17424.0,1.07
beta_handledag[0],-0.37,0.199,-0.739,0.01,0.006,0.006,997.0,22768.0,1.01
beta_handledag[1],-0.305,0.188,-0.635,0.05,0.022,0.002,75.0,3368.0,1.04
beta_handledag[2],-0.51,0.19,-0.868,-0.149,0.01,0.009,424.0,23956.0,1.02
beta_handledag[3],-0.275,0.187,-0.598,0.072,0.034,0.002,32.0,1537.0,1.08
beta_handledag[4],-0.602,0.193,-0.941,-0.251,0.031,0.005,39.0,2217.0,1.06
beta_age[0],-0.01,0.212,-0.379,0.414,0.055,0.027,16.0,26.0,1.16
beta_age[1],0.189,0.219,-0.205,0.588,0.045,0.01,24.0,193.0,1.1
beta_age[2],0.54,0.21,0.131,0.916,0.012,0.003,365.0,16379.0,1.02
beta_age[3],0.63,0.285,0.084,1.122,0.035,0.007,69.0,2287.0,1.04
beta_age[4],1.002,0.247,0.516,1.44,0.018,0.002,196.0,21453.0,1.02
beta_age[5],0.727,0.243,0.28,1.204,0.013,0.01,412.0,17619.0,1.03
beta_age[6],0.776,0.255,0.287,1.257,0.006,0.013,1642.0,19198.0,1.02
beta_age[7],0.728,0.308,0.146,1.311,0.016,0.011,408.0,19034.0,1.02
beta_age[8],1.11,0.391,0.377,1.838,0.034,0.006,138.0,16189.0,1.02
beta_age[9],0.178,0.597,-0.981,1.283,0.048,0.014,175.0,17067.0,1.02
lambda_value[0],0.475,0.029,0.419,0.532,0.002,0.002,207.0,497.0,1.08
psi_value[0],0.141,0.085,0.015,0.281,0.029,0.009,8.0,13.0,1.54
psi_value[1],0.885,0.019,0.85,0.923,0.001,0.001,959.0,3298.0,1.03
