,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_factors[0],-0.148,0.084,-0.305,0.01,0.0,0.0,34862.0,25671.0,1.0
beta_factors[1],0.107,0.08,-0.042,0.258,0.0,0.0,32939.0,20903.0,1.0
beta_factors[2],0.173,0.071,0.039,0.305,0.001,0.0,13387.0,23749.0,1.0
beta_factors[3],0.039,0.076,-0.099,0.183,0.0,0.0,44981.0,26690.0,1.0
beta_factors[4],-0.254,0.075,-0.395,-0.112,0.0,0.0,40339.0,26823.0,1.0
beta_factors[5],0.105,0.06,-0.006,0.221,0.0,0.0,61893.0,25188.0,1.0
beta_factors[6],-0.006,0.065,-0.13,0.116,0.0,0.0,50355.0,25082.0,1.0
beta_factors[7],0.096,0.084,-0.063,0.254,0.0,0.0,32352.0,26463.0,1.0
beta_gender,0.11,0.125,-0.133,0.338,0.001,0.001,37399.0,19363.0,1.0
cutpoints[0],-1.509,0.184,-1.849,-1.155,0.001,0.001,19972.0,23705.0,1.0
cutpoints[1],-0.012,0.178,-0.34,0.329,0.001,0.001,20100.0,23893.0,1.0
cutpoints[2],1.034,0.181,0.696,1.377,0.001,0.001,21055.0,21062.0,1.0
beta_handledag[0],-0.258,0.186,-0.608,0.093,0.001,0.001,38393.0,27288.0,1.0
beta_handledag[1],-0.198,0.17,-0.515,0.127,0.001,0.001,33235.0,23414.0,1.0
beta_handledag[2],-0.399,0.181,-0.735,-0.054,0.001,0.001,35334.0,25964.0,1.0
beta_handledag[3],-0.18,0.166,-0.499,0.124,0.001,0.001,31096.0,26897.0,1.0
beta_handledag[4],-0.472,0.172,-0.797,-0.149,0.001,0.001,33360.0,26445.0,1.0
beta_age[0],-0.236,0.161,-0.536,0.072,0.001,0.001,23201.0,25285.0,1.0
beta_age[1],-0.051,0.179,-0.381,0.291,0.001,0.001,29123.0,25386.0,1.0
beta_age[2],0.295,0.186,-0.057,0.646,0.001,0.001,29896.0,25756.0,1.0
beta_age[3],0.342,0.245,-0.125,0.798,0.001,0.001,38905.0,24383.0,1.0
beta_age[4],0.691,0.219,0.268,1.087,0.001,0.001,35148.0,24313.0,1.0
beta_age[5],0.478,0.219,0.079,0.899,0.001,0.001,37170.0,25883.0,1.0
beta_age[6],0.486,0.228,0.066,0.921,0.001,0.001,37761.0,22596.0,1.0
beta_age[7],0.416,0.272,-0.106,0.918,0.001,0.002,48483.0,24805.0,1.0
beta_age[8],0.629,0.323,0.037,1.252,0.001,0.002,54450.0,23206.0,1.0
beta_age[9],0.001,0.419,-0.794,0.779,0.002,0.003,65685.0,22651.0,1.0
lambda_value[0],0.476,0.031,0.418,0.536,0.003,0.0,107.0,1032.0,1.02
psi_value[0],0.163,0.08,0.02,0.298,0.023,0.004,11.0,42.0,1.28
psi_value[1],0.885,0.02,0.846,0.923,0.001,0.0,1473.0,11271.0,1.0
