,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_factors[0],-0.158,0.086,-0.323,0.0,0.001,0.001,24363.0,11996.0,1.0
beta_factors[1],0.138,0.082,-0.018,0.29,0.0,0.0,31892.0,26863.0,1.0
beta_factors[2],0.169,0.073,0.033,0.307,0.001,0.0,9824.0,18196.0,1.0
beta_factors[3],0.028,0.077,-0.117,0.172,0.0,0.0,41195.0,26919.0,1.0
beta_factors[4],-0.257,0.076,-0.406,-0.117,0.0,0.0,33371.0,25433.0,1.0
beta_factors[5],0.114,0.061,-0.001,0.228,0.0,0.0,50986.0,22477.0,1.0
beta_factors[6],-0.004,0.067,-0.131,0.123,0.0,0.001,21567.0,9394.0,1.0
beta_factors[7],0.11,0.086,-0.057,0.268,0.0,0.0,30860.0,25260.0,1.0
beta_gender,0.101,0.128,-0.143,0.342,0.001,0.001,48173.0,23929.0,1.0
cutpoints[0],-1.318,0.225,-1.741,-0.897,0.002,0.001,13879.0,18462.0,1.0
cutpoints[1],0.207,0.222,-0.229,0.607,0.002,0.001,13628.0,18334.0,1.0
cutpoints[2],1.265,0.224,0.835,1.68,0.002,0.001,13746.0,19813.0,1.0
beta_handledag[0],-0.41,0.212,-0.8,-0.003,0.001,0.001,28410.0,24976.0,1.0
beta_handledag[1],-0.32,0.192,-0.671,0.048,0.001,0.001,27026.0,25436.0,1.0
beta_handledag[2],-0.54,0.202,-0.93,-0.17,0.001,0.001,28650.0,26597.0,1.0
beta_handledag[3],-0.275,0.186,-0.627,0.071,0.001,0.001,25816.0,26193.0,1.0
beta_handledag[4],-0.622,0.193,-0.987,-0.261,0.001,0.001,28561.0,27356.0,1.0
beta_age[0],0.06,0.2,-0.31,0.437,0.002,0.001,13768.0,19836.0,1.0
beta_age[1],0.276,0.218,-0.13,0.689,0.002,0.001,15269.0,19461.0,1.0
beta_age[2],0.657,0.231,0.212,1.082,0.002,0.001,15878.0,21452.0,1.0
beta_age[3],0.75,0.301,0.187,1.317,0.002,0.002,20862.0,21107.0,1.0
beta_age[4],1.135,0.267,0.634,1.643,0.002,0.001,19076.0,22394.0,1.0
beta_age[5],0.883,0.269,0.363,1.378,0.002,0.002,18387.0,12974.0,1.0
beta_age[6],0.924,0.282,0.4,1.461,0.002,0.001,20035.0,21200.0,1.0
beta_age[7],0.877,0.342,0.248,1.535,0.002,0.002,26703.0,23611.0,1.0
beta_age[8],1.326,0.433,0.498,2.122,0.002,0.003,33175.0,18816.0,1.0
beta_age[9],0.291,0.743,-1.155,1.66,0.004,0.005,40810.0,20798.0,1.0
lambda_value[0],0.474,0.031,0.415,0.532,0.003,0.0,82.0,586.0,1.03
psi_value[0],0.142,0.085,0.02,0.283,0.028,0.004,9.0,50.0,1.35
psi_value[1],0.886,0.02,0.849,0.925,0.001,0.0,1395.0,10773.0,1.0
