,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_factors[0],-0.156,0.085,-0.323,-0.0,0.0,0.0,39387.0,27494.0,1.0
beta_factors[1],0.127,0.081,-0.024,0.282,0.0,0.0,36945.0,27066.0,1.0
beta_factors[2],0.17,0.072,0.034,0.305,0.001,0.0,10588.0,21289.0,1.0
beta_factors[3],0.032,0.078,-0.114,0.179,0.0,0.0,53135.0,27190.0,1.0
beta_factors[4],-0.257,0.075,-0.398,-0.116,0.0,0.0,45870.0,27450.0,1.0
beta_factors[5],0.111,0.062,-0.005,0.227,0.0,0.0,66920.0,23665.0,1.0
beta_factors[6],-0.005,0.066,-0.13,0.119,0.0,0.0,56050.0,26171.0,1.0
beta_factors[7],0.104,0.086,-0.052,0.27,0.0,0.0,39253.0,26930.0,1.0
beta_gender,0.104,0.128,-0.131,0.348,0.001,0.001,57643.0,25000.0,1.0
cutpoints[0],-1.399,0.211,-1.8,-1.009,0.002,0.001,16638.0,20396.0,1.0
cutpoints[1],0.117,0.208,-0.267,0.508,0.002,0.001,16537.0,20695.0,1.0
cutpoints[2],1.171,0.21,0.78,1.568,0.002,0.001,17108.0,20849.0,1.0
beta_handledag[0],-0.365,0.205,-0.745,0.021,0.001,0.001,31960.0,25792.0,1.0
beta_handledag[1],-0.286,0.188,-0.637,0.071,0.001,0.001,29695.0,26784.0,1.0
beta_handledag[2],-0.501,0.197,-0.874,-0.133,0.001,0.001,29572.0,26460.0,1.0
beta_handledag[3],-0.25,0.181,-0.586,0.099,0.001,0.001,28118.0,26984.0,1.0
beta_handledag[4],-0.579,0.187,-0.932,-0.227,0.001,0.001,29384.0,27133.0,1.0
beta_age[0],-0.052,0.186,-0.395,0.303,0.001,0.001,18384.0,22911.0,1.0
beta_age[1],0.154,0.206,-0.236,0.537,0.001,0.001,19870.0,23342.0,1.0
beta_age[2],0.524,0.215,0.124,0.93,0.001,0.001,21372.0,24744.0,1.0
beta_age[3],0.602,0.285,0.056,1.129,0.002,0.001,30441.0,24616.0,1.0
beta_age[4],0.983,0.251,0.516,1.458,0.002,0.001,25711.0,25760.0,1.0
beta_age[5],0.739,0.254,0.281,1.229,0.002,0.001,27086.0,25654.0,1.0
beta_age[6],0.767,0.264,0.262,1.26,0.002,0.001,27213.0,23586.0,1.0
beta_age[7],0.71,0.322,0.102,1.317,0.002,0.002,34882.0,24774.0,1.0
beta_age[8],1.078,0.401,0.33,1.83,0.002,0.002,43645.0,23613.0,1.0
beta_age[9],0.134,0.62,-1.008,1.33,0.003,0.004,59357.0,21712.0,1.0
lambda_value[0],0.476,0.031,0.416,0.534,0.004,0.0,73.0,785.0,1.03
psi_value[0],0.161,0.082,0.023,0.295,0.028,0.008,8.0,11.0,1.46
psi_value[1],0.885,0.02,0.846,0.922,0.001,0.0,650.0,14252.0,1.01
