,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_factors[0, 0]",-0.107,0.132,-0.358,0.139,0.001,0.001,12292.0,12523.0,1.0
"beta_factors[0, 1]",0.134,0.142,-0.122,0.406,0.001,0.001,13572.0,13270.0,1.0
"beta_factors[0, 2]",-0.299,0.137,-0.558,-0.039,0.001,0.001,13043.0,12979.0,1.0
"beta_factors[1, 0]",-0.043,0.127,-0.272,0.206,0.001,0.001,13106.0,12379.0,1.0
"beta_factors[1, 1]",-0.062,0.134,-0.309,0.191,0.001,0.001,12666.0,12934.0,1.0
"beta_factors[1, 2]",0.065,0.131,-0.179,0.315,0.001,0.001,13337.0,13256.0,1.0
"beta_factors[2, 0]",-0.074,0.111,-0.29,0.129,0.001,0.001,11958.0,12463.0,1.0
"beta_factors[2, 1]",0.181,0.12,-0.041,0.411,0.001,0.001,12498.0,12892.0,1.0
"beta_factors[2, 2]",0.231,0.119,0.008,0.453,0.002,0.001,4654.0,10723.0,1.0
"beta_factors[3, 0]",-0.069,0.118,-0.294,0.148,0.001,0.001,15878.0,14090.0,1.0
"beta_factors[3, 1]",0.176,0.129,-0.069,0.413,0.001,0.001,14263.0,12281.0,1.0
"beta_factors[3, 2]",0.056,0.125,-0.173,0.292,0.001,0.001,16511.0,13427.0,1.0
"beta_factors[4, 0]",-0.266,0.12,-0.494,-0.043,0.001,0.001,14888.0,13022.0,1.0
"beta_factors[4, 1]",-0.501,0.13,-0.745,-0.256,0.001,0.001,13219.0,13153.0,1.0
"beta_factors[4, 2]",-0.43,0.126,-0.67,-0.196,0.001,0.001,14247.0,12775.0,1.0
"beta_factors[5, 0]",0.207,0.097,0.022,0.386,0.001,0.001,17092.0,14085.0,1.0
"beta_factors[5, 1]",-0.071,0.103,-0.266,0.119,0.001,0.001,17708.0,13609.0,1.0
"beta_factors[5, 2]",0.261,0.101,0.068,0.448,0.001,0.001,16783.0,12567.0,1.0
"beta_factors[6, 0]",0.123,0.103,-0.073,0.313,0.001,0.001,15649.0,13165.0,1.0
"beta_factors[6, 1]",0.021,0.111,-0.186,0.23,0.001,0.001,16261.0,13714.0,1.0
"beta_factors[6, 2]",0.024,0.106,-0.182,0.215,0.001,0.001,17055.0,14109.0,1.0
"beta_factors[7, 0]",0.081,0.135,-0.167,0.344,0.001,0.001,12631.0,13151.0,1.0
"beta_factors[7, 1]",-0.221,0.147,-0.496,0.053,0.001,0.001,14532.0,13363.0,1.0
"beta_factors[7, 2]",0.205,0.141,-0.067,0.465,0.001,0.001,13434.0,13748.0,1.0
beta_gender[0],0.27,0.195,-0.089,0.647,0.002,0.001,12185.0,11669.0,1.0
beta_gender[1],0.917,0.212,0.519,1.312,0.002,0.001,12267.0,12247.0,1.0
beta_gender[2],0.165,0.203,-0.211,0.548,0.002,0.001,11459.0,12278.0,1.0
intercepts[0],0.297,0.14,0.034,0.559,0.001,0.001,10765.0,12672.0,1.0
intercepts[1],-0.434,0.164,-0.735,-0.117,0.001,0.001,12387.0,10906.0,1.0
intercepts[2],0.211,0.144,-0.063,0.477,0.001,0.001,10415.0,11664.0,1.0
