scenario,var_group,var_name,category,mean_effect,hdi_2.5,hdi_97.5,prob_positive,prob_negative
PS2_wider_structural,factor,brand,NoEquip,0.027620389072222647,-0.0018446493360415085,0.05965281299629067,0.96740625,0.03259375
PS2_wider_structural,factor,brand,Basket,0.010590188880101208,-0.001583188823134575,0.027320971006800875,0.953625,0.046375
PS2_wider_structural,factor,brand,Cart,-0.012435480348957367,-0.028004050330591248,0.0008029576294200564,0.032625,0.967375
PS2_wider_structural,factor,brand,Trolley,-0.02577509760336649,-0.05455406338107388,0.0018180821570868144,0.03259375,0.96740625
PS2_wider_structural,factor,hedonic,NoEquip,-0.021729986541431566,-0.04767462743447767,0.003888203325095613,0.04621875,0.95378125
PS2_wider_structural,factor,hedonic,Basket,-0.012098643664275033,-0.030981948184094638,0.0017262594033328107,0.0478125,0.9521875
PS2_wider_structural,factor,hedonic,Cart,0.00911992883275649,-0.0016612737831074391,0.021634705352284924,0.952375,0.047625
PS2_wider_structural,factor,hedonic,Trolley,0.024708701372950108,-0.004016726551156721,0.05649499503358623,0.95378125,0.04621875
PS2_wider_structural,factor,confused,NoEquip,-0.026440424364537675,-0.04926641285782189,-0.004771868710748002,0.00890625,0.99109375
PS2_wider_structural,factor,confused,Basket,-0.015170514028161858,-0.034477382234383847,-0.0013455521168248652,0.0110625,0.9889375
PS2_wider_structural,factor,confused,Cart,0.010970056718585952,0.0015689959381563771,0.02255016384708272,0.98915625,0.01084375
PS2_wider_structural,factor,confused,Trolley,0.030640881674113586,0.004864422845247768,0.06104503805196244,0.99109375,0.00890625
PS2_wider_structural,factor,perf,NoEquip,-0.004331667699850841,-0.028810399951587674,0.021260665028132324,0.3599375,0.6400625
PS2_wider_structural,factor,perf,Basket,-0.002672678936091127,-0.017576039080482983,0.009268260958475483,0.359,0.641
PS2_wider_structural,factor,perf,Cart,0.0017848015083037337,-0.009700706558623418,0.01287644475359099,0.63946875,0.36053125
PS2_wider_structural,factor,perf,Trolley,0.005219545127638235,-0.020282151749174103,0.0330366661522449,0.6400625,0.3599375
PS2_wider_structural,factor,careless,NoEquip,0.04607293088196323,0.018138742348398004,0.07845785253697557,0.9998125,0.0001875
PS2_wider_structural,factor,careless,Basket,0.015521798175969867,-0.0003116404547700416,0.03378263815699637,0.973125,0.026875
PS2_wider_structural,factor,careless,Cart,-0.0208788812503466,-0.03662872442973878,-0.007061275834072632,0.00028125,0.99971875
PS2_wider_structural,factor,careless,Trolley,-0.0407158478075865,-0.0667964164723053,-0.017386178193929635,0.0001875,0.9998125
PS2_wider_structural,factor,habit,NoEquip,-0.018206789525661782,-0.03827714311806245,0.0008934080642246335,0.03078125,0.96921875
PS2_wider_structural,factor,habit,Basket,-0.009783992851428459,-0.023640388293316248,0.0004593825209938378,0.03328125,0.96671875
PS2_wider_structural,factor,habit,Cart,0.0077221547381451285,-0.0004281073867591634,0.01753361719031465,0.9680625,0.0319375
PS2_wider_structural,factor,habit,Trolley,0.020268627638945113,-0.000926913352271394,0.0434398652904256,0.96921875,0.03078125
PS2_wider_structural,factor,novelty,NoEquip,0.0010007315679265024,-0.020509485123740904,0.024223086608160246,0.525,0.475
PS2_wider_structural,factor,novelty,Basket,1.0909588681151699e-05,-0.0119024831641656,0.010772732492342273,0.5215625,0.4784375
PS2_wider_structural,factor,novelty,Cart,-0.0005118908114847787,-0.011095400272359671,0.009105937646479125,0.4745,0.5255
PS2_wider_structural,factor,novelty,Trolley,-0.0004997503451228756,-0.022980706327073858,0.023016076015791587,0.475,0.525
PS2_wider_structural,factor,value,NoEquip,-0.017285113196049733,-0.04399156035340659,0.010044491288044428,0.10025,0.89975
PS2_wider_structural,factor,value,Basket,-0.009646200856758238,-0.028897129171349224,0.004374950576155296,0.10221875,0.89778125
PS2_wider_structural,factor,value,Cart,0.0072445292234771365,-0.004429496922224924,0.019700737956335625,0.89853125,0.10146875
PS2_wider_structural,factor,value,Trolley,0.01968678482933084,-0.01014254988200701,0.05289594051550005,0.89975,0.10025
PS2_wider_structural,gender,female,NoEquip,-0.016418200091572303,-0.05875748290836358,0.024371364292518072,0.2139375,0.7860625
PS2_wider_structural,gender,female,Basket,-0.008473485695978411,-0.032752236238317634,0.013018150183561847,0.21525,0.78475
PS2_wider_structural,gender,female,Cart,0.007054927447101516,-0.010650931097453636,0.026511596820980334,0.7854375,0.2145625
PS2_wider_structural,gender,female,Trolley,0.017836758340449198,-0.0264379572574233,0.06317204551317873,0.7860625,0.2139375
PS2_wider_structural,handledag,Friday,NoEquip,0.07629649881441733,-0.001154285245087687,0.15886269971056305,0.9731875,0.0268125
PS2_wider_structural,handledag,Friday,Basket,0.020192252821600455,-0.005354123526717831,0.05690655418788474,0.93328125,0.06671875
PS2_wider_structural,handledag,Friday,Cart,-0.03460511667728555,-0.07265514714202559,0.0005102388991780338,0.0268125,0.9731875
PS2_wider_structural,handledag,Friday,Trolley,-0.06188363495873223,-0.1276106528022571,0.0009707253603693321,0.0268125,0.9731875
PS2_wider_structural,handledag,Monday,NoEquip,0.05804525540062151,-0.009661905008307678,0.12950298834850532,0.9528125,0.0471875
PS2_wider_structural,handledag,Monday,Basket,0.018280553980474547,-0.004591739532272439,0.05250024659333368,0.931625,0.068375
PS2_wider_structural,handledag,Monday,Cart,-0.026339240947186555,-0.05940300160214496,0.004386909899366256,0.04725,0.95275
PS2_wider_structural,handledag,Monday,Trolley,-0.0499865684339095,-0.11222995782839448,0.008394533598186593,0.0471875,0.9528125
PS2_wider_structural,handledag,Thursday,NoEquip,0.10325965071618225,0.02708091395200209,0.18440665326524383,0.9964375,0.0035625
PS2_wider_structural,handledag,Thursday,Basket,0.02226911228875454,-0.008222495986426737,0.06122534078111809,0.92159375,0.07840625
PS2_wider_structural,handledag,Thursday,Cart,-0.046692256201822685,-0.08330479844933111,-0.012199616731500001,0.003625,0.996375
PS2_wider_structural,handledag,Thursday,Trolley,-0.0788365068031141,-0.1427271640398457,-0.02093406338297472,0.0035625,0.9964375
PS2_wider_structural,handledag,Tuesday,NoEquip,0.049100689099140366,-0.01680604477329588,0.11612425401911632,0.931125,0.068875
PS2_wider_structural,handledag,Tuesday,Basket,0.016919759313206485,-0.005465579434354749,0.050186721147489254,0.91975,0.08025
PS2_wider_structural,handledag,Tuesday,Cart,-0.022271698860773226,-0.05339601487655015,0.007445046339209775,0.0689375,0.9310625
PS2_wider_structural,handledag,Tuesday,Trolley,-0.043748749551573624,-0.10567927794900892,0.014558860351468916,0.068875,0.931125
PS2_wider_structural,handledag,Wednesday,NoEquip,0.12089502308135625,0.04712147697983855,0.19953415713165112,0.9995625,0.0004375
PS2_wider_structural,handledag,Wednesday,Basket,0.02214512358211356,-0.01341103632243071,0.06355308063885316,0.89184375,0.10815625
PS2_wider_structural,handledag,Wednesday,Cart,-0.054419442368650255,-0.08941698209212505,-0.02102311936978787,0.0004375,0.9995625
PS2_wider_structural,handledag,Wednesday,Trolley,-0.08862070429481955,-0.15123764408222043,-0.033673554580223426,0.0004375,0.9995625
