spec_id,parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,p_gt_0
PS0_baseline,beta_factors[0],-0.15,0.082,-0.313,0.011,0.007,0.003,131.0,23895.0,1.02,0.02959375
PS0_baseline,beta_factors[1],0.121,0.08,-0.029,0.281,0.005,0.001,263.0,17215.0,1.01,0.9435
PS0_baseline,beta_factors[2],0.164,0.071,0.019,0.298,0.007,0.002,106.0,709.0,1.03,0.99225
PS0_baseline,beta_factors[3],0.038,0.074,-0.115,0.175,0.007,0.001,143.0,19405.0,1.02,0.69703125
PS0_baseline,beta_factors[4],-0.258,0.072,-0.404,-0.115,0.001,0.004,3324.0,21677.0,1.02,0.00025
PS0_baseline,beta_factors[5],0.11,0.059,-0.007,0.227,0.002,0.002,1303.0,19634.0,1.02,0.96865625
PS0_baseline,beta_factors[6],-0.007,0.064,-0.13,0.126,0.001,0.004,2026.0,13103.0,1.04,0.430375
PS0_baseline,beta_factors[7],0.105,0.082,-0.055,0.27,0.001,0.005,3056.0,20020.0,1.02,0.90284375
PS0_baseline,beta_gender,0.108,0.122,-0.137,0.352,0.003,0.006,1279.0,21287.0,1.02,0.815375
PS1_tighter_structural,beta_factors[0],-0.148,0.084,-0.311,0.016,0.0,0.0,34862.0,25671.0,1.0,0.0383125
PS1_tighter_structural,beta_factors[1],0.107,0.08,-0.053,0.261,0.0,0.0,32939.0,20903.0,1.0,0.90671875
PS1_tighter_structural,beta_factors[2],0.173,0.071,0.033,0.311,0.001,0.0,13387.0,23749.0,1.0,0.99315625
PS1_tighter_structural,beta_factors[3],0.039,0.076,-0.111,0.184,0.0,0.0,44981.0,26690.0,1.0,0.69596875
PS1_tighter_structural,beta_factors[4],-0.254,0.075,-0.4,-0.106,0.0,0.0,40339.0,26823.0,1.0,0.00034375
PS1_tighter_structural,beta_factors[5],0.105,0.06,-0.013,0.222,0.0,0.0,61893.0,25188.0,1.0,0.9588125
PS1_tighter_structural,beta_factors[6],-0.006,0.065,-0.138,0.119,0.0,0.0,50355.0,25082.0,1.0,0.46803125
PS1_tighter_structural,beta_factors[7],0.096,0.084,-0.07,0.262,0.0,0.0,32352.0,26463.0,1.0,0.87228125
PS1_tighter_structural,beta_gender,0.11,0.125,-0.142,0.347,0.001,0.001,37399.0,19363.0,1.0,0.80971875
PS2_wider_structural,beta_factors[0],-0.158,0.086,-0.327,0.01,0.001,0.001,24363.0,11996.0,1.0,0.03259375
PS2_wider_structural,beta_factors[1],0.138,0.082,-0.022,0.3,0.0,0.0,31892.0,26863.0,1.0,0.95378125
PS2_wider_structural,beta_factors[2],0.169,0.073,0.031,0.315,0.001,0.0,9824.0,18196.0,1.0,0.99109375
PS2_wider_structural,beta_factors[3],0.028,0.077,-0.123,0.179,0.0,0.0,41195.0,26919.0,1.0,0.6400625
PS2_wider_structural,beta_factors[4],-0.257,0.076,-0.407,-0.107,0.0,0.0,33371.0,25433.0,1.0,0.0001875
PS2_wider_structural,beta_factors[5],0.114,0.061,-0.005,0.234,0.0,0.0,50986.0,22477.0,1.0,0.96921875
PS2_wider_structural,beta_factors[6],-0.004,0.067,-0.136,0.128,0.0,0.001,21567.0,9394.0,1.0,0.475
PS2_wider_structural,beta_factors[7],0.11,0.086,-0.06,0.278,0.0,0.0,30860.0,25260.0,1.0,0.89975
PS2_wider_structural,beta_gender,0.101,0.128,-0.151,0.354,0.001,0.001,48173.0,23929.0,1.0,0.7860625
PS3_measurement_variance_sensitive,beta_factors[0],-0.156,0.085,-0.323,0.012,0.0,0.0,39387.0,27494.0,1.0,0.03375
PS3_measurement_variance_sensitive,beta_factors[1],0.127,0.081,-0.032,0.289,0.0,0.0,36945.0,27066.0,1.0,0.94115625
PS3_measurement_variance_sensitive,beta_factors[2],0.17,0.072,0.032,0.314,0.001,0.0,10588.0,21289.0,1.0,0.99228125
PS3_measurement_variance_sensitive,beta_factors[3],0.032,0.078,-0.114,0.19,0.0,0.0,53135.0,27190.0,1.0,0.65946875
PS3_measurement_variance_sensitive,beta_factors[4],-0.257,0.075,-0.41,-0.116,0.0,0.0,45870.0,27450.0,1.0,6.25e-05
PS3_measurement_variance_sensitive,beta_factors[5],0.111,0.062,-0.01,0.233,0.0,0.0,66920.0,23665.0,1.0,0.9629375
PS3_measurement_variance_sensitive,beta_factors[6],-0.005,0.066,-0.135,0.125,0.0,0.0,56050.0,26171.0,1.0,0.46846875
PS3_measurement_variance_sensitive,beta_factors[7],0.104,0.086,-0.064,0.271,0.0,0.0,39253.0,26930.0,1.0,0.8869375
PS3_measurement_variance_sensitive,beta_gender,0.104,0.128,-0.151,0.349,0.001,0.001,57643.0,25000.0,1.0,0.7924375
